REGIONAL;GERENTE;GRUPO ECONOMICO;NOME SIGA;Inscritos ENEM 25.1;Inscritos Total CPF Único;Inscritos EX ENEM;Adiantamento da VCP - Nov;Adiantamento da VCP - Jan;TOP 25;Possui time comercial;Quantidade time comercial;% do CE nas matrículas do Polo;Aportes;Expectativa Matricula Enem;META 100% ONLINE;REAL 25.1;% META;META HIBRIDO;REAL 25.1;% META;META PRESENCIAL;REAL 25.1;% META;META HIBRIDO LAB;REAL 25.1;% META;META TOTAL;REAL 25.1;% META
NORDESTE;RODRIGO BONFIM;GI-GILSARA SILVA DE ANDRADE;[ANHANGUERA/UNOPAR] - ABAIRA/BA - I(14060157);63;77;14;SIM; NÃO;NÃO;NÃO;0;0%;0;0;32;9;28%;0;0;0%;0;0;0%;0;0;0%;32;9;28%
CENTRO OESTE/NORTE;CARLOS SOARES;GE12-NEUSA DIVINA DA SILVEIRA FERREIRA;[ANHANGUERA/UNOPAR] - AGUAS LINDAS DE GOIAS/GO - I(11088885);133;529;396;SIM; NÃO;NÃO;SIM;3;0%;0;219;48;107;221%;0;6;0%;0;0;0%;0;10;0%;48;155;320%
SUL;TBD;GE4-CASALI;[ANHANGUERA/UNOPAR] - AGUDO/RS - I(14000302);0;45;45;SIM; NÃO;NÃO;SIM;1;0%;0;0;92;27;29%;0;0;0%;0;0;0%;1;1;93%;93;28;30%
NORDESTE;MARCOS SANTOS;GI-EDMILSON JOSE SANTOS ARAUJO;[ANHANGUERA/UNOPAR] - ALAGOINHAS/BA - I(6954);355;665;310;SIM; NÃO;NÃO;SIM;2;0%;1;0;238;84;35%;178;64;36%;0;0;0%;20;14;69%;436;162;37%
REVENUE SHARE;FERNANDO GONTIJO;GE4-CARLOS AROLDO DE ANDRADE JUNIOR;[ANHANGUERA/UNOPAR] - ALAGOINHAS/BA - II(11871201);636;894;258;SIM; NÃO;SIM;SIM;2;4%;0;2;64;46;72%;53;14;26%;80;37;46%;33;33;101%;230;130;57%
SUL;TBD;GE8-ELIO WINCK;[ANHANGUERA/UNOPAR] - ALECRIM/RS - I(15055594);0;22;22;SIM; NÃO;NÃO;NÃO;0;0%;0;0;32;19;60%;0;0;0%;0;0;0%;1;0;0%;33;19;58%
CENTRO OESTE/NORTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ALENQUER/PA - I(15067660);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;CARLOS SOARES;GI-GLEYDE AGUIAR DE SOUZA BRITO;[ANHANGUERA/UNOPAR] - ALEXANIA/GO - I(1051520);173;257;84;SIM; NÃO;NÃO;NÃO;0;0%;1;330;68;40;59%;14;9;65%;0;0;0%;7;4;57%;89;53;60%
SUDESTE;CONSUELO NOBREGA;GE3-MARIA MARTA NORONHA;[ANHANGUERA/UNOPAR] - ALFENAS/MG - I(3064);60;372;312;SIM; NÃO;NÃO;SIM;3;0%;0;0;242;111;46%;31;23;74%;0;0;0%;112;39;35%;386;174;45%
SUDESTE;MARCOS MALACARNE;GE7-ELZITA FLOR DE MAIO;[ANHANGUERA/UNOPAR] - ALMENARA/MG - I(3065);803;950;147;SIM; NÃO;NÃO;SIM;4;0%;0;0;169;103;61%;36;29;80%;0;0;0%;109;78;72%;314;210;67%
SUL;ANTONIO FERNANDES;GE4-RICARDO JEAN GOMES;[ANHANGUERA/UNOPAR] - ALMIRANTE TAMANDARE/PR - I(13583979);15;166;151;SIM; NÃO;NÃO;SIM;2;59%;1;0;85;32;38%;0;0;0%;0;0;0%;12;2;17%;97;47;49%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ALPINOPOLIS/MG - I(13819478);0;4;4;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE2-INESIO LUIS JEZIORNY;[ANHANGUERA/UNOPAR] - ALTA FLORESTA DOESTE/RO - I(1059553);0;71;71;SIM; SIM;NÃO;NÃO;0;33%;0;0;58;35;60%;0;0;0%;0;0;0%;0;0;0%;58;35;60%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE4-MARIA MENSOR;[ANHANGUERA/UNOPAR] - ALTA FLORESTA/MT - I(4245);488;670;182;SIM; NÃO;NÃO;SIM;3;2%;1;0;180;76;42%;82;43;52%;0;0;0%;126;102;81%;389;221;57%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ALTINHO/PE - I(15029228);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ALTO PARAISO/RO - I(14724023);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;RODRIGO BONFIM;GI-MARIA MARCILENE DE CARVALHO SILVA;[ANHANGUERA/UNOPAR] - ALTOS/PI - I(11088886);48;95;47;SIM; SIM;NÃO;SIM;2;0%;0;0;0;15;0%;0;7;0%;0;0;0%;0;2;0%;0;24;0%
NORDESTE;MARCOS SANTOS;GE2-ELISABETE DOS SANTOS DE LIMA;[ANHANGUERA/UNOPAR] - ANADIA/AL - I(15152968);1;31;30;SIM; NÃO;NÃO;SIM;1;0%;0;0;21;12;57%;0;0;0%;0;0;0%;0;0;0%;21;12;57%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ANAGE/BA - I(14566495);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;CARLOS SOARES;GI-JOSE PEDRO GOMES;[ANHANGUERA/UNOPAR] - ANAPOLIS/GO - I(4246);168;701;533;SIM; NÃO;NÃO;SIM;3;5%;1;19;462;155;34%;142;43;30%;0;0;0%;124;33;27%;728;231;32%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ANDARAI/BA - I(14028786);0;2;2;NÃO; SIM;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
